subsample_ratio;accuracy;f1;iteration
 0.1000000000; 57.576; 53.846;12
 0.1000000000; 57.071; 56.853;17
 0.1000000000; 58.081; 54.645;11
 0.1000000000; 56.061; 49.711;16
 0.1000000000; 59.596; 56.522;15
 0.1000000000; 60.606; 58.065;25
 0.1000000000; 57.576; 53.846;4
 0.1000000000; 58.081; 53.631;8
 0.1000000000; 56.061; 55.385;19
 0.1000000000; 59.596; 54.023;23
 0.1000000000; 56.061; 54.922;5
 0.1000000000; 56.566; 52.222;21
 0.1000000000; 63.636; 59.551;22
 0.1000000000; 63.131; 58.757;14
 0.1000000000; 65.152; 61.878;18
 0.1000000000; 59.091; 56.684;7
 0.1000000000; 63.131; 57.310;29
 0.1000000000; 57.071; 50.867;6
 0.1000000000; 57.576; 54.348;20
 1.0000000000; 57.071; 55.497;0
 0.3162000000; 61.111; 56.983;6
 0.3162000000; 59.596; 54.023;0
 0.3162000000; 63.131; 58.286;14
 0.3162000000; 59.091; 55.249;23
 0.3162000000; 58.081; 52.571;26
 0.3162000000; 55.051; 52.406;19
 0.3162000000; 56.061; 50.847;8
 0.3162000000; 62.121; 60.733;1
 0.3162000000; 58.586; 54.945;3
 0.3162000000; 59.091; 57.592;2
 0.3162000000; 55.556; 49.425;17
 0.3162000000; 57.071; 54.545;12
 0.3162000000; 57.576; 54.348;31
 0.3162000000; 62.121; 57.143;5
 0.3162000000; 55.051; 47.337;22
 0.3162000000; 63.636; 62.105;16
 0.3162000000; 66.162; 64.550;13
 0.3162000000; 55.556; 53.684;20
 0.3162000000; 60.606; 58.065;25
 0.3162000000; 61.616; 58.696;11
 0.3162000000; 61.111; 58.378;27
 0.3162000000; 59.596; 56.522;4
 0.3162000000; 62.121; 58.101;30
 0.3162000000; 59.596; 54.023;7
 0.3162000000; 57.576; 53.846;21
 0.3162000000; 59.091; 54.749;29
 0.3162000000; 57.576; 51.163;18
 0.3162000000; 58.081; 56.085;15
 0.3162000000; 64.141; 60.335;28
 0.3162000000; 58.586; 54.444;24
 0.3162000000; 62.626; 56.471;9
 0.3162000000; 58.586; 54.945;10
